,Date,Open*,High,Low,Close**,Volume,Market Cap
392,"May 19, 2018",1800,1811,1757,1770,148 970 000,1 801 265 188
393,"May 18, 2018",1693,1812,1666,1800,178 787 008,1 831 068 357
394,"May 17, 2018",1776,1833,1683,1704,166 820 000,1 733 333 916
395,"May 16, 2018",1820,1828,1701,1776,204 932 000,1 806 661 315
396,"May 15, 2018",1876,1993,1821,1826,239 530 000,1 857 333 095
397,"May 14, 2018",1880,1910,1756,1879,221 006 000,1 910 204 187
398,"May 13, 2018",1812,1910,1783,1873,201 048 000,1 903 940 125
399,"May 12, 2018",1779,1849,1653,1815,258 036 992,1 844 938 503
400,"May 11, 2018",1978,1984,1718,1773,354 950 016,1 801 565 622
401,"May 10, 2018",2151,2176,1973,1974,225 995 008,2 006 424 436
402,"May 09, 2018",2243,2243,2047,2150,293 584 000,2 184 191 206
403,"May 08, 2018",2365,2375,2217,2247,257 408 992,2 282 453 221
404,"May 07, 2018",2545,2545,2274,2364,411 630 016,2 400 993 968
405,"May 06, 2018",2274,2580,2272,2534,666 931 968,2 574 015 402
406,"May 05, 2018",2237,2319,2233,2276,263 167 008,2 311 307 417
407,"May 04, 2018",2272,2272,2176,2240,299 227 008,2 274 105 001
408,"May 03, 2018",2164,2343,2148,2276,370 436 992,2 310 262 706
409,"May 02, 2018",2156,2175,2109,2167,193 015 008,2 199 317 381
410,"May 01, 2018",2186,2186,2070,2158,210 024 992,2 190 162 937
411,"Apr 30, 2018",2184,2295,2142,2168,351 048 992,2 199 403 283
412,"Apr 29, 2018",2172,2226,2048,2183,271 380 000,2 214 596 921
413,"Apr 28, 2018",2057,2228,2057,2173,246 408 992,2 203 911 511
414,"Apr 27, 2018",2101,2193,2024,2056,273 598 016,2 084 620 973
415,"Apr 26, 2018",1860,2154,1821,2106,280 513 984,2 135 535 000
416,"Apr 25, 2018",2211,2213,1827,1858,358 536 000,1 883 211 547
417,"Apr 24, 2018",2048,2282,2046,2225,320 566 016,2 254 967 708
418,"Apr 23, 2018",1877,2075,1874,2048,278 155 008,2 075 470 093
419,"Apr 22, 2018",1866,1940,1830,1879,157 018 000,1 903 688 523
420,"Apr 21, 2018",1970,1998,1773,1869,216 888 000,1 892 942 103
421,"Apr 20, 2018",1842,1976,1796,1964,256 292 000,1 988 765 810
422,"Apr 19, 2018",1763,1838,1750,1838,172 275 008,1 861 604 035
423,"Apr 18, 2018",1608,1777,1608,1762,200 759 008,1 783 643 678
424,"Apr 17, 2018",1616,1674,1607,1607,133 100 000,1 626 916 758
425,"Apr 16, 2018",1673,1685,1566,1612,122 772 000,1 631 393 188
426,"Apr 15, 2018",1608,1683,1603,1675,121 745 000,1 695 010 294
427,"Apr 14, 2018",1557,1631,1550,1602,130 820 000,1 621 139 577
428,"Apr 13, 2018",1606,1661,1552,1561,190 710 000,1 578 753 651
429,"Apr 12, 2018",1456,1625,1380,1617,211 979 008,1 634 841 227
430,"Apr 11, 2018",1369,1460,1361,1459,104 725 000,1 475 548 379
431,"Apr 10, 2018",1365,1378,1335,1365,73 476 000,1 380 096 673
432,"Apr 09, 2018",1414,1451,1335,1363,94 279 200,1 377 760 900
433,"Apr 08, 2018",1347,1448,1345,1412,95 690 304,1 426 747 763
434,"Apr 07, 2018",1315,1380,1314,1347,79 211 104,1 360 822 819
435,"Apr 06, 2018",1369,1385,1304,1315,84 228 496,1 328 254 703
436,"Apr 05, 2018",1365,1381,1324,1372,97 405 600,1 385 108 573
437,"Apr 04, 2018",1512,1512,1353,1364,106 000 000,1 377 470 981
438,"Apr 03, 2018",1416,1527,1402,1516,140 058 000,1 530 705 773
439,"Apr 02, 2018",1362,1433,1352,1413,123 715 000,1 425 789 057
440,"Apr 01, 2018",1441,1452,1314,1358,122 407 000,1 369 826 749
441,"Mar 31, 2018",1440,1494,1429,1437,123 343 000,1 449 457 637
442,"Mar 30, 2018",1464,1508,1389,1439,171 606 000,1 451 463 551
443,"Mar 29, 2018",1611,1617,1456,1468,172 103 008,1 479 868 179
444,"Mar 28, 2018",1587,1684,1584,1610,144 663 008,1 623 006 298
445,"Mar 27, 2018",1648,1706,1536,1591,184 083 008,1 603 517 178
446,"Mar 26, 2018",1809,1813,1552,1648,189 408 000,1 661 117 350
447,"Mar 25, 2018",1837,1856,1800,1809,110 957 000,1 822 603 554
448,"Mar 24, 2018",1913,1939,1845,1850,137 104 992,1 863 485 104
449,"Mar 23, 2018",1969,1969,1815,1904,196 326 000,1 917 439 470
450,"Mar 22, 2018",1979,2073,1855,1967,242 384 000,1 980 334 221
451,"Mar 21, 2018",2029,2152,1929,1980,295 532 000,1 993 083 125
452,"Mar 20, 2018",1961,2107,1801,2021,432 819 008,2 033 673 618
453,"Mar 19, 2018",1691,1965,1633,1965,315 268 000,1 977 658 038
454,"Mar 18, 2018",1625,1691,1448,1679,233 156 992,1 688 737 703
455,"Mar 17, 2018",1776,1797,1609,1632,154 703 008,1 641 227 372
456,"Mar 16, 2018",1850,1851,1733,1778,201 540 992,1 787 391 364
457,"Mar 15, 2018",1719,1931,1594,1841,368 177 984,1 851 067 728
458,"Mar 14, 2018",1995,2022,1625,1715,201 571 008,1 723 898 774
459,"Mar 13, 2018",2046,2084,1974,1992,178 296 000,2 002 083 562
460,"Mar 12, 2018",2157,2179,2014,2050,222 694 000,2 059 415 904
461,"Mar 11, 2018",2088,2185,1997,2158,278 368 000,2 167 062 130
462,"Mar 10, 2018",2251,2293,2078,2091,262 771 008,2 099 933 508
463,"Mar 09, 2018",2271,2326,2051,2248,499 608 992,2 256 466 795
464,"Mar 08, 2018",2219,2517,2118,2267,619 476 992,2 275 258 401
465,"Mar 07, 2018",2506,2548,2105,2212,417 288 992,2 219 490 492
466,"Mar 06, 2018",2683,2729,2491,2510,387 811 008,2 518 143 561
467,"Mar 05, 2018",2965,3025,2651,2684,637 222 016,2 692 577 613
468,"Mar 04, 2018",2916,3135,2878,2969,647 561 984,2 976 992 467
469,"Mar 03, 2018",3079,3200,2862,2919,699 657 024,2 926 660 621
470,"Mar 02, 2018",3375,3402,3043,3077,556 803 968,3 083 911 269
471,"Mar 01, 2018",3364,3480,3211,3376,514 648 000,3 383 346 326
472,"Feb 28, 2018",3600,3642,3341,3369,501 651 008,3 375 868 307
473,"Feb 27, 2018",3624,3747,3551,3625,513 289 984,3 630 890 438
474,"Feb 26, 2018",3685,3711,3467,3608,622 099 008,3 613 128 862
475,"Feb 25, 2018",3857,3877,3488,3641,685 424 000,3 645 681 506
476,"Feb 24, 2018",3783,4071,3692,3884,1 324 419 968,3 888 060 387
477,"Feb 23, 2018",3250,3811,3132,3804,1 132 690 048,3 806 797 342
478,"Feb 22, 2018",3646,3763,3193,3281,711 134 016,3 282 308 270
479,"Feb 21, 2018",3807,4026,3498,3663,904 092 032,3 664 295 247
480,"Feb 20, 2018",3941,4396,3823,3847,1 175 890 048,3 847 116 029
481,"Feb 19, 2018",3469,4026,3393,3929,992 256 000,3 928 613 806
482,"Feb 18, 2018",3501,3508,3152,3488,456 828 992,3 486 470 024
483,"Feb 17, 2018",3497,3540,3438,3499,418 534 016,3 496 289 426
484,"Feb 16, 2018",3443,3534,3290,3503,456 753 984,3 500 231 735
485,"Feb 15, 2018",3483,3565,3283,3453,635 228 032,3 449 230 736
486,"Feb 14, 2018",3432,3644,3340,3504,1 055 340 032,3 499 351 731
487,"Feb 13, 2018",2988,3473,2832,3396,1 135 949 952,3 390 646 133
488,"Feb 12, 2018",2431,3033,2431,2988,541 766 016,2 982 590 517
489,"Feb 11, 2018",2453,2600,2142,2413,378 188 992,2 407 815 127
490,"Feb 10, 2018",2595,2665,2308,2452,256 180 992,2 445 802 366
491,"Feb 09, 2018",2189,2621,2100,2600,393 048 992,2 593 088 434
492,"Feb 08, 2018",1815,2196,1815,2179,265 155 008,2 173 193 031
493,"Feb 07, 2018",1918,2045,1745,1816,212 987 008,1 810 195 966
494,"Feb 06, 2018",1675,1942,1406,1939,318 212 000,1 932 458 057
495,"Feb 05, 2018",2076,2119,1590,1653,171 500 000,1 646 840 602
496,"Feb 04, 2018",2419,2473,1991,2104,218 348 000,2 095 804 167
